diameter_lambda,diameter_lambda_SE,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
0.0247359668912852,7.88737261938371e-06,19.2600000137058,3.35171479438553e-11,0.462289049785575,0.000631800931462954,5.50314268431918e-11,1.73467252457513e-12,0.043218198055212,0.00092765611973819
0.0499662138684451,2.33666492867961e-05,19.2600001447173,5.06891953788762e-10,0.459238380289745,0.000900643142074235,8.32260171101279e-10,2.75041677402513e-11,0.062017544922275,0.00138554852990251
0.0752424385391644,4.29208675666017e-05,19.260000489156,2.30611659526033e-09,0.460423567829729,0.00116933402346119,3.78638671117442e-09,1.08897140174944e-10,0.0803121108047537,0.00184595430028193
0.100515874685177,6.48718520814701e-05,19.2600010601593,5.47078168399419e-09,0.457232966182025,0.00122708189064921,8.98241420076541e-09,2.37614202150157e-10,0.0848664452696616,0.00199551915076627
0.125860739092752,9.24197098669852e-05,19.2600017609669,9.96987796200244e-09,0.463263777095653,0.00146507567897186,1.63694285935842e-08,4.92192536871228e-10,0.100007302947671,0.00240866218969675
0.150957936771237,0.00012067041118591,19.2600025389058,1.53570038048437e-08,0.46168241507643,0.00152630981975177,2.52144878802997e-08,5.94015792596269e-10,0.104544060763017,0.00282947471315493
0.176275706383065,0.000154082415803666,19.2600032796276,2.05564022445228e-08,0.458790173366702,0.00160511287072142,3.37513190665182e-08,8.26470662675073e-10,0.110634727328261,0.00249717242960922
0.201840512585583,0.00018722658332149,19.2600038462148,2.50750273795673e-08,0.458731063777737,0.00179975702606832,4.11703961970393e-08,1.13470069992048e-09,0.124066841918176,0.00294022205795512
0.227826208853405,0.000228558862188614,19.2600042182011,3.05693013780521e-08,0.463211929996944,0.00199642727235594,5.01913798873497e-08,1.14517835772106e-09,0.136293064895019,0.00320156688579445
0.248229538285164,0.000266702667107817,19.260004396827,3.33520134962766e-08,0.463951207198905,0.00200453543623406,5.47602819957222e-08,1.66737302081306e-09,0.136628540472818,0.00327927598461882
0.495717969315318,0.000750013282724963,19.2600043215235,4.01554941638473e-08,0.458647846030538,0.00266453965298148,6.5930837816817e-08,1.97639543691844e-09,0.183714243775062,0.00421564616165824
0.775166596454747,0.00205188134438984,19.2600040651248,4.43871707037106e-08,0.456654396399791,0.0034279555020723,7.28787791735675e-08,2.24632764553052e-09,0.23738186229492,0.00703395868195145
1.03398723678092,0.00289387280991714,19.2600040916387,4.60427878472022e-08,0.457860927895191,0.00401155296012078,7.55971175957792e-08,2.51283314851861e-09,0.277063263875535,0.00672041010684035
1.24749158268812,0.00381866388610847,19.2600041383138,4.81130522550893e-08,0.462764263237187,0.00415636908756527,7.89962604453016e-08,2.91714770379692e-09,0.284023511692073,0.00776096870101603
1.45894733763119,0.00500679356931605,19.260004275805,4.84153937189805e-08,0.455293613199311,0.00412719993885063,7.94926708080337e-08,2.90287787285844e-09,0.286657923311616,0.00657476377491838
1.67013911076688,0.00630430070512181,19.2600041074173,4.85456798925226e-08,0.464691684656031,0.00427615561268114,7.97065868551342e-08,2.77186289336856e-09,0.290997059166114,0.0073886790504809
1.8624265558366,0.00752230317350948,19.260004089373,5.31344480855424e-08,0.467419596124512,0.00439364778746452,8.72408320302475e-08,2.73143705769582e-09,0.297247577126531,0.00712461500443902
2.08160154134508,0.00904940264260659,19.2600040652468,4.99959504902206e-08,0.461403662076602,0.00447720413459115,8.20877694514043e-08,2.60767142879771e-09,0.306849810231471,0.00791834885068147
2.26129148788345,0.00906018519795261,19.2600040875295,5.03829389639341e-08,0.460940376461046,0.00439162736751057,8.27231612284212e-08,2.59133762301113e-09,0.301287234212089,0.00897586947689433
