diameter_lambda,diameter_lambda_SE,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
0.0258206130633255,1.03938696658627e-05,18.4498995161646,0.0044668208327033,0.465036816206674,0.00037969560389696,0.00765604588732675,0.000179183023870217,0.0258195240467558,0.000625453987952832
0.0521595025088362,2.99667966064411e-05,18.4565700561976,0.00612732167370053,0.465688334442319,0.000513396529868737,0.0104983170688869,0.000227919085725073,0.0348624231516575,0.000748339871831095
0.07849121089527,5.53498984274957e-05,18.4559952960642,0.00746040534153352,0.465488285775665,0.000586117906185252,0.0127827693759563,0.000287344221774037,0.0398177057853511,0.000892120263579292
0.104780557402029,8.52871739989643e-05,18.4728068405529,0.00902918078023327,0.465407320184017,0.000667454693537048,0.0154566530779027,0.000332402684265935,0.0453511789567942,0.00107398081912262
0.131014242497245,0.00011822515023268,18.4832959640807,0.00988533650745145,0.466756305154963,0.000727637279732512,0.0169126647441613,0.000375715937163584,0.0492974832689166,0.00108548361027721
0.157350303472077,0.000156201482485477,18.4810561896957,0.0109861293892368,0.465567030515591,0.000795998455080052,0.0187982716911349,0.000418569753872198,0.0540667179383505,0.00118142011282099
0.183894797765358,0.000198756423432315,18.4843936514084,0.0117388821483822,0.465608345355129,0.000826789683195193,0.020082673780511,0.000449735695207265,0.0561531718859482,0.00125799821202006
0.210415897413641,0.000241956142641016,18.5000393154654,0.0128895725434297,0.466390543245227,0.000865582717816758,0.0220326057735095,0.000534899826601446,0.058689288006008,0.0013632822379764
0.236446800109433,0.000293177828165295,18.5232572307531,0.0133086981658119,0.465990243004376,0.000942070613893296,0.0227205174399879,0.000531812148062323,0.0639302839778108,0.00150410180001651
0.258578369570002,0.000331008402256641,18.4985849430396,0.0144038503446917,0.467994272822704,0.00090087995942648,0.0246229505152317,0.000535558555283751,0.0608732357557506,0.00135186913752245
0.515089828114575,0.000975026613364736,18.5038615180527,0.0197057231897198,0.469350836473714,0.00129813155029179,0.0336767372364505,0.000680449125743169,0.08746234335682,0.00199153516415356
0.799786841855616,0.00239313637264549,18.6306841407402,0.0257819848627898,0.468974755452663,0.00149858457045886,0.0437610310767474,0.00101399846816447,0.101048946748978,0.00241462462554999
1.07268216597521,0.00340815867224557,18.612663094121,0.0304519104941953,0.470666003051261,0.00169902552433404,0.0517375701576297,0.00120574387141563,0.114152932755423,0.00251242055311479
1.29215961376589,0.00440206125940918,18.6563955138745,0.0315904303648219,0.472013366136739,0.00180228391347144,0.0535460947659951,0.00119129878109723,0.120744931515362,0.00270637093572781
1.51485668660052,0.00601208214728111,18.6713404299758,0.0351521977724937,0.472870091610709,0.00195626925407809,0.0595356343796906,0.00130822698289197,0.130823806986259,0.00320415263961962
1.72593802312563,0.00723139566995653,18.659656694814,0.0378268685211454,0.475199453059005,0.00202011938095412,0.0641057138590281,0.0014381292377284,0.134431518137105,0.00322047855581019
1.92566938004451,0.008656886354046,18.734561624886,0.039754826055198,0.470220031543782,0.00209392632128058,0.0671036775961911,0.00167097754618805,0.140818680269422,0.00385116401299343
2.13552411352603,0.0103765250331845,18.6338109262274,0.040696100603121,0.472764521125091,0.00213888430167303,0.0690639023346952,0.0016389461356188,0.143067970260734,0.00328526601365218
2.31496763220541,0.0108497542930066,18.6852841339227,0.0443399190757338,0.477104409117469,0.0022812220839429,0.0750404085599691,0.00177316384982066,0.151200816762086,0.00403875845595267
