CV_area,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
0.01,19.3380203293799,0.0146024535491634,0.466415006702382,0.00176905337484651,0.0238788727365282,0.000570779960643702,0.119941208720419,0.00270104452592519
0.02,19.3377440064567,0.0139377222486546,0.464158455624539,0.00170388325502211,0.0227921869716736,0.000506532574565363,0.116084321800009,0.00245133619437189
0.03,19.2929355723865,0.0145453775371998,0.467375893112908,0.00180477144237227,0.0238411216748351,0.000537763376065735,0.122111313356613,0.00321174940012949
0.04,19.3176123578782,0.0144566782844947,0.467252505594529,0.00176190682560996,0.0236654664833126,0.000551414168789325,0.119242562152454,0.00296484141213285
0.05,19.3225014956916,0.0143942818876734,0.467058291649898,0.00179413451786077,0.0235573618962872,0.000510615917518692,0.121474163002782,0.00270265926062585
0.06,19.3268577751371,0.0145385485398359,0.466598986539864,0.00176216357773379,0.0237881024394668,0.00054256391150415,0.119426974257988,0.00275055123503235
0.07,19.3073778686271,0.0142568050131875,0.467119793620925,0.00177663256646877,0.0233506467348097,0.000528388589839158,0.120273333564432,0.00259410953495703
0.08,19.3128687523392,0.0142455828911414,0.46363446541236,0.00174447723219526,0.0233256328256655,0.000536755629095255,0.118984281617998,0.00255292557738034
0.09,19.29741779539,0.0145281814746778,0.469599460714275,0.00181980850085975,0.0238074048079225,0.000509403781221287,0.122545706489956,0.00285852909872141
0.1,19.2954207937255,0.0139343254269056,0.468365246227336,0.00179689202143557,0.0228366131415744,0.000482030034169754,0.121321373498375,0.00276751561074818
0.15,19.3337412579027,0.0144571014281733,0.465842051322019,0.0018182862966527,0.0236464160077728,0.000532433005821531,0.123430809206196,0.00296533723610476
0.2,19.313215498478,0.0140390046869189,0.464945629131948,0.00168711861498271,0.0229869701893718,0.000500611689945526,0.114747556960041,0.00254778590542477
0.25,19.3077431825468,0.0151020386844094,0.46729058089937,0.0017555417079354,0.024734552921688,0.000549878494920777,0.118802101977173,0.00257627792775925
0.3,19.3067136511783,0.0142031512988096,0.466845052388978,0.00185647609129114,0.0232635697963419,0.000547619267559328,0.125752491968903,0.0026236767221458
0.35,19.3255968178005,0.0142712855609424,0.467445384315877,0.00176801053035408,0.0233523279703752,0.000572856935534374,0.119606276811647,0.00252423229959164
0.4,19.3039565158307,0.0141525104437764,0.469592499893103,0.00173542214554534,0.0231839351559624,0.000524096150286002,0.116864870777722,0.00260529546275318
0.45,19.3363356268655,0.014217428831899,0.463628181333643,0.00175664729109704,0.0232512811360609,0.000533096839005896,0.119815979896915,0.00264201647366698
0.5,19.2986087685693,0.0152602840091542,0.464364721988927,0.00176785852510598,0.0250055616903159,0.00053578787051058,0.120389410641194,0.00262453755427104
0.55,19.3162399054827,0.0146527279965922,0.468852138929295,0.00194567819866319,0.0239881025659634,0.000535698785692682,0.131230598959411,0.00333729649056706
0.6,19.3363695065959,0.0151645296721227,0.463525388713304,0.00186889307953651,0.0248001329271022,0.000585674135685655,0.12750021851159,0.00283276818942557
0.65,19.3371859499588,0.0147417703865313,0.469903655590639,0.00183189256902215,0.0241077327824729,0.000567355396401305,0.123279588867336,0.0028513688244188
0.7,19.3027548888492,0.0150511814073929,0.470307497679539,0.00189535572249266,0.0246576278866989,0.000563173123789469,0.127440899600431,0.00306853166435153
0.75,19.3300624609008,0.0147557158354996,0.469048093570693,0.00189526230327799,0.0241394308170377,0.000614685712683111,0.127776782892135,0.003197218902583
0.8,19.3273568505269,0.0154392366694198,0.467517329348958,0.00187964565237806,0.0252611640522525,0.000550861134633916,0.127138847747634,0.00298503786239798
0.85,19.2920095349183,0.0145745281136133,0.466576283730232,0.00191400719158151,0.0238900486638032,0.000551852753461717,0.129724171467733,0.00325193002275418
0.9,19.3289350789331,0.0154649062425952,0.469176139381484,0.0018885520949141,0.0253010977210321,0.00053932922235781,0.127289638123629,0.00304916554860625
0.95,19.3321982227258,0.0156225771976538,0.469012782684727,0.00188362092580138,0.0255547384199286,0.000546597953638335,0.127001493217113,0.00313443651319702
1,19.3294787005389,0.0158888757286106,0.469360047540182,0.00196031733260172,0.0259939947373625,0.000612951365613975,0.132074890911898,0.00330482478448762
1.5,19.3528799594845,0.0157644000067459,0.467048761365446,0.0019958761887704,0.0257591686982275,0.000601759916311101,0.135136097262276,0.00337446889388721
2,19.3467274666049,0.0177015831725434,0.467554511411253,0.00206659079432515,0.0289337414365148,0.000675680830490401,0.139772662697203,0.00364143613096392
2.5,19.3209272978398,0.0190841350456597,0.470840706754207,0.00203739907509466,0.0312352160888642,0.00100853001967349,0.136836545515231,0.00332494608287755
3,19.3408493235831,0.0198323720634484,0.472947480775039,0.0021628183272137,0.0324264286821773,0.000921940836723576,0.144612929705061,0.00367739688598758
3.5,19.3069305959653,0.0202256548677394,0.466176311413783,0.00207907179859668,0.0331275529440677,0.00123539312831149,0.141032526570246,0.00361433851991187
4,19.3343964678029,0.0202624862224862,0.472257649859006,0.00217152011937645,0.0331407332147872,0.00101093482538676,0.145406846541511,0.00370891358853612
4.5,19.3859488683829,0.0223551313119566,0.471169918930274,0.0021119014350458,0.0364661708425459,0.00146557690061655,0.141741194847186,0.00419868143267032
5,19.378384659405,0.0225001536873047,0.468942047352159,0.00218270384659727,0.0367170610999231,0.00147288745117577,0.147189096218423,0.00378922066615966
5.5,19.3705068187728,0.0231313018144804,0.47115228283682,0.00217686943820599,0.0377623567947396,0.00167084992694583,0.146107019838557,0.00445930861304675
6,19.3429248224097,0.0221975818268724,0.472647505938174,0.00224809871763356,0.0362897120085759,0.00121373422918571,0.150410448871716,0.00367870364629204
6.5,19.3700518968198,0.0264176155705391,0.47428071597602,0.00230581773889243,0.0431283488545263,0.00268400213893032,0.153740931868041,0.00415416861334123
7,19.3726051167243,0.0250638579209791,0.46639696671156,0.00227231297401173,0.0409128651018251,0.00301533472810056,0.154067995023476,0.00498253478883447
7.5,19.3842087712073,0.0243990667459072,0.472812940798481,0.00221671761089652,0.0398038550916484,0.0015457535564249,0.148258983098088,0.0043808020067368
8,19.4130910759747,0.0242968507933247,0.468362565735626,0.00223826870210268,0.0395781321869254,0.00163617681823558,0.151122818771743,0.00463946566378858
8.5,19.3312323239172,0.0274353436042919,0.468734299841941,0.0022665162209079,0.0448797948962395,0.00238548223808448,0.152908665190561,0.00449850750478158
9,19.3817717181301,0.0229509295636293,0.46737039014895,0.00226027323042626,0.0374461183913713,0.00132077997286792,0.152932485521294,0.00417482838760031
9.5,19.361458445541,0.0225826803013587,0.468293606705441,0.00209311620822572,0.0368839494321037,0.0013679792539715,0.141343262658974,0.00334344872292187
10,19.3932673683952,0.0253706281667447,0.471058985820729,0.00211446366161717,0.0413694965124251,0.00223704359098784,0.141946579974902,0.0038855592677078
