diameter_lambda,diameter_lambda_SE,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
0.0258328676077246,1.209728844152e-05,18.4526689305715,0.00613917131705303,0.466121331044395,0.000994248966954118,0.0105208435597625,0.00023756945108646,0.0674522079862731,0.00147339713245901
0.0520952293743216,3.37791626099292e-05,18.4758921977288,0.00869297558487334,0.464683933452637,0.00136800584979782,0.0148786333012992,0.000334265787176702,0.0930958448606714,0.00207389447742178
0.0784028540995976,6.10664379966515e-05,18.4638120031059,0.0103663764192145,0.467049517218743,0.00165979600859156,0.0177543838519717,0.000382220492177765,0.112380714354694,0.00272468796721763
0.104706259858677,9.33877458823515e-05,18.4809986300429,0.0117702815775044,0.465839793936986,0.00186107350740944,0.0201400904959361,0.000450413521863727,0.126335947529811,0.00304326541804171
0.130661950677848,0.000138472625274943,18.5162051023364,0.0142828280449129,0.466374046611384,0.00203229320456895,0.0243928320089495,0.000529702246593221,0.13780087992494,0.00297654148116807
0.156949362903802,0.000178945615352519,18.5093785973474,0.0151399233108342,0.470612643637722,0.00228471240569092,0.025866152669963,0.000626323697726144,0.153521055970347,0.00370635146502038
0.183865685064414,0.000231568114326033,18.4884479351723,0.0169728128565757,0.472770676311826,0.0024506592273174,0.0290304232755314,0.000634070447448452,0.163920169239089,0.00371703981297763
0.209672708981484,0.000287920454826134,18.5463232432547,0.0179449113025146,0.466782972769583,0.00273551174903894,0.030597327233733,0.000680161670998136,0.185320549329122,0.00413705708312855
0.236264086037392,0.000345838728648467,18.5378612350038,0.0195437130514513,0.472680657507783,0.00283034202441406,0.0333386070787108,0.000756844533927613,0.189352519767386,0.00437916258797536
0.257108295964284,0.000374527034921418,18.5726573001502,0.0191923154696618,0.47608662182015,0.00300201050097508,0.0326778389735994,0.000715765683101598,0.199400493686013,0.00481442038924102
0.513583522140221,0.00113955055009865,18.6292206239388,0.0301937150897016,0.4850634082916,0.00408446634550298,0.0512533039535523,0.00113211096271236,0.266278932966409,0.00642422800051386
0.795442496494302,0.00274056152201516,18.7440523467617,0.0375307109970262,0.491236697585409,0.00544523476373542,0.0633174335840116,0.00136086168041492,0.350530494410771,0.0116389366112787
1.0638578801971,0.00381765807660582,18.7862714522893,0.0433716498659774,0.507730695326538,0.00641176762968391,0.0730071423721025,0.00164365012851225,0.399341417097112,0.00998823237115431
1.29036063803507,0.00497320275606151,18.8630948067464,0.0447521164788144,0.514348449610442,0.00687061887781458,0.075024071943695,0.00164535064047244,0.422414116447705,0.0111971319064661
1.50761953455886,0.00649779613223232,18.7257745755814,0.0495681918940017,0.499858849391872,0.0070622402689736,0.0837072908512646,0.00223839949620984,0.44678141960449,0.0187227502658252
1.71670822938315,0.00805692618169037,18.8956310459056,0.0520491093770193,0.495253118289599,0.00738217110226542,0.0871067684454357,0.00210014873627967,0.471364518427602,0.0214331458200002
1.9188201534414,0.00941451480843224,18.846174300033,0.0570982029548698,0.505965643065433,0.00697350728354118,0.0958074401549118,0.00218354139598853,0.435843156506813,0.0120223451068689
2.12764544577427,0.011082273149458,18.828455116336,0.0570816698966334,0.515160016858643,0.00792425062549211,0.095869835524964,0.00210342265943304,0.486425186476476,0.0142411147146784
2.30343842449597,0.0123131888103456,18.9709346614229,0.0622950423409702,0.507992785629756,0.007632060601043,0.103840018559907,0.00246908044037571,0.475099163264885,0.015249180885969
