CV_area,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
0.01,18.5646335484513,0.0203551312777847,0.473075627620854,0.0028726751282766,0.034672689197737,0.00077718624548382,0.192024189213801,0.00435346147620587
0.02,18.5496445313628,0.019240848896632,0.471335224324566,0.00291433568174991,0.0328011173074618,0.000735130589112544,0.195528323473723,0.00431707573361667
0.03,18.5500266712514,0.0192442445297202,0.473661052462649,0.00282907953928143,0.0328062302236282,0.000739484191979768,0.188876306789328,0.0044741210214
0.04,18.5449496812144,0.0203221849371346,0.471583597252806,0.00285002590455821,0.0346533112988759,0.00078235624825437,0.191112950098096,0.00386883522827029
0.05,18.5449613147059,0.0194764698130619,0.477296011695044,0.00291853100928011,0.0332111803004675,0.000712295829785201,0.193364394107946,0.00503565615443536
0.06,18.5515027854762,0.0190557557173123,0.472895675434912,0.00287970982323074,0.0324823230221863,0.000712437544216361,0.192567674326795,0.00431737132521264
0.07,18.5466532058046,0.0201061342464205,0.47313358586854,0.00289174891704646,0.0342817534000704,0.000689197805905734,0.193275499189206,0.0042019219308542
0.08,18.545910312788,0.0201496398678028,0.469686865720595,0.00288351902799137,0.0343573083983128,0.00071480740945069,0.194139723087593,0.00535835313038911
0.09,18.5594429776073,0.0202492150001908,0.473430078264388,0.00301895286117192,0.0345019192161687,0.000786691447219551,0.201651048978218,0.00503023026645006
0.1,18.5460277255604,0.0199078021673899,0.473431467351301,0.00289641358693135,0.0339447341439184,0.00075686650462583,0.193465466750749,0.00438791016918663
0.15,18.5538988938723,0.0196255974504479,0.474329318475496,0.00293803792949129,0.033449351395089,0.000746023041444954,0.195874287067449,0.00470759161532347
0.2,18.5295950890842,0.0200791567721948,0.470092254600777,0.0029063276101424,0.034267272754997,0.000793607334342304,0.195506622045686,0.00427954670213001
0.25,18.5983765124635,0.0201892833585636,0.473890617699784,0.00297181310837918,0.0343277918353843,0.000748232001395263,0.198309437912877,0.00473970217918883
