CV_area,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
0.01,19.31358494199,0.0136205566504993,0.470530199066372,0.00175316666360982,0.0223013915564109,0.000493947637824772,0.11782452615976,0.00264097744546114
0.02,19.326835765841,0.0143200308676492,0.466427929008144,0.00172245834320973,0.0234305885631446,0.000531853541084396,0.116778846217154,0.00257288075788008
0.03,19.3092969537433,0.0143526712649219,0.465078672977769,0.0016907065175029,0.0235053258611804,0.000530125326711326,0.114958688945431,0.00270851744021974
0.04,19.3134916087403,0.014327240591007,0.468470798849615,0.00175919399176868,0.0234585820993111,0.000512644570736208,0.118749340913741,0.00253293947200153
0.05,19.2992092731499,0.01445453832352,0.470360247798163,0.0016984867137691,0.0236845266464404,0.000506097973180475,0.114190912522642,0.00260196564199277
0.06,19.290682797716,0.0141678868693251,0.469192590932548,0.00182611919451578,0.0232250940044302,0.000532686228001448,0.123077304399551,0.00289928274168616
0.07,19.3166374491266,0.0140005214766472,0.465312122560175,0.00173305873003907,0.0229198981514823,0.000512672989918629,0.117779284915441,0.00271755618644501
0.08,19.3264626412339,0.0143697432310828,0.466549357449801,0.00174621928199038,0.0235123823979346,0.000554466212137059,0.118358971821917,0.00269384259273238
0.09,19.3152452291749,0.0145215861915467,0.46782071555514,0.00178140930623867,0.0237746334871148,0.000535848961796334,0.120416019757694,0.00269066409605372
0.1,19.3322721504784,0.0141670536596105,0.466819176016488,0.001743580328622,0.0231737671337739,0.000518637804846337,0.118111795855525,0.00281644099016144
0.15,19.320158099847,0.0141656911384615,0.464330742756903,0.00176762559162791,0.0231860673170975,0.000504109673007082,0.120382356911339,0.00256704567351447
0.2,19.3245818291702,0.0144764170613666,0.469537565058245,0.00182251443285721,0.0236892320243319,0.000519194906384764,0.12274410196858,0.00313740599376727
0.25,19.3106247028571,0.0143854786290015,0.466516943787132,0.0017285332895933,0.0235574345207954,0.000541989484488602,0.117168353247045,0.0026187203456218
0.3,19.3315390683594,0.0148452731358135,0.463088618522541,0.00171735602505699,0.0242840859336012,0.000570545954816656,0.117272512762672,0.00262225514535041
0.35,19.2932738042734,0.0144568923334222,0.464064728057649,0.00179288252357349,0.0236956714164885,0.000535594948241749,0.122172447264694,0.00272140121751421
0.4,19.3130262987728,0.0143175789986082,0.469978201769973,0.00177716574747332,0.0234433275834516,0.000502033296522205,0.119577706380559,0.00275486999597608
0.45,19.3183859426811,0.0144847449336602,0.470096422996193,0.00184329311596824,0.0237104618640795,0.000502165605798061,0.123995936931767,0.00272519289983271
0.5,19.3007129837522,0.0142842988766363,0.465919705738002,0.00178210330421982,0.0234037567766441,0.000503693600284459,0.120954434801596,0.00276389403262235
0.55,19.3282089042596,0.0152430280755442,0.468478629649731,0.00186011971003535,0.0249390346489838,0.000569285834368064,0.125559943015579,0.00297021981436888
0.6,19.3119572609122,0.0145716230297618,0.47148199464477,0.00178038537423916,0.0238606151395522,0.000529070411824595,0.119412256658685,0.00267567996745748
0.65,19.3180199999434,0.0142433595700652,0.467840068042342,0.00179979178715249,0.0233157734458784,0.000513849098147401,0.121653568179452,0.00303727126052224
0.7,19.3150253771368,0.0140711127890917,0.469351946861836,0.00183459905369381,0.0230373839836241,0.00053764951175066,0.123606850715158,0.00280368609546553
0.75,19.2996290903948,0.0142791789666574,0.467242327717524,0.00175242023361835,0.0233966821021861,0.000501198739231424,0.118603110789839,0.00263944466081816
0.8,19.3288395009902,0.0147255090559042,0.464799335745742,0.00178681123429051,0.0240915386149838,0.000514844265150427,0.121566293550507,0.00288120229747571
0.85,19.3119392273696,0.0145094484650159,0.466700512516314,0.00178491489792676,0.0237588282575253,0.000532865549388379,0.120942582140794,0.00261774942046671
0.9,19.3211331880694,0.0151017427317803,0.469079051098102,0.00183387364787778,0.0247169269035462,0.00052243400583931,0.123629858436005,0.00294373058564428
0.95,19.2760062618172,0.0150636779908128,0.47038448017829,0.00181438650106275,0.0247123453599806,0.000545236181456342,0.121976683776792,0.0027672167637087
1,19.3200447333287,0.0148916278178512,0.467601026951118,0.0017692026875248,0.0243744062821428,0.000561798422608527,0.119647088278409,0.00262528911987132
1.5,19.2949938939521,0.0153860394570007,0.467811562564662,0.00182363258317907,0.0252163484066159,0.000593544535706469,0.123272553301741,0.00268359639824809
2,19.3335677299475,0.0154999288839689,0.467804499821033,0.00177743596216094,0.0253523196176823,0.000598296976300656,0.120151602596207,0.00284771566062412
2.5,19.2929149848293,0.0157607454561395,0.468050724486756,0.00192875871104728,0.0258332415307595,0.000615097552229173,0.13031217055562,0.00325700553494461
3,19.3658953326238,0.0161412586753714,0.466518101160992,0.00184099389795772,0.0263572330839456,0.000638867307999454,0.124791168049639,0.00299772932876254
3.5,19.3288367507284,0.0158732232576357,0.468771895916983,0.00190338221783622,0.0259692499604741,0.000572987209319269,0.128399827691273,0.00343909683153889
4,19.3506378776553,0.0167506575598856,0.469028497863822,0.00197114565447161,0.0273738935789414,0.000601971018574171,0.132898318470264,0.00300687023737626
4.5,19.3497737770205,0.016823795419737,0.468447797676685,0.00199306063997204,0.0274946431044371,0.000691054579008015,0.134542443542331,0.00322837500377024
5,19.3267715596718,0.0171128881250378,0.469654171919539,0.0019952069199878,0.0280003846745353,0.000649523149857423,0.13434136536472,0.00333334615683888
5.5,19.3408321404965,0.0165597028107888,0.465968347546557,0.00188925019125345,0.0270755559415349,0.000703262180559372,0.128213294008617,0.00330823707122577
6,19.3293941273558,0.0163789570820396,0.464657574696372,0.00189579782736381,0.0267958787203207,0.000686856190381749,0.129020582987069,0.00317289326299057
6.5,19.3422995017305,0.0178127784026025,0.467742222773656,0.00202426278514242,0.0291221585122492,0.000809850174619393,0.136854888699319,0.00358579890525501
7,19.3194873453119,0.0168589824432088,0.470324865835601,0.00201483613802244,0.0275953407046627,0.000796274968997451,0.135469582218419,0.00356801536958604
7.5,19.3625015845111,0.0178766240843526,0.469848500127674,0.0020439343273057,0.0291960461484986,0.000954170184452994,0.137565361182035,0.0035273005183492
8,19.3550774311221,0.0179802980651803,0.471860970043624,0.00199898380124598,0.0293766300326251,0.000854358054198869,0.13396619383744,0.00367345002139004
8.5,19.3312699379774,0.017153559310317,0.467020517293248,0.0019472835190769,0.0280604003634664,0.000729708564607751,0.131853975197504,0.00314125125672125
9,19.3167723965708,0.0179366459247969,0.467894956044598,0.00200117293364553,0.029363422388517,0.000735102697043678,0.135249683298524,0.00339527844148573
9.5,19.3483552845206,0.0176803189466112,0.469465847580035,0.00207237199762576,0.028896553121624,0.000805334265268238,0.13959302269657,0.00375263436795688
