diameter_lambda,diameter_lambda_SE,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
0.024732243393554,9.47672805291544e-06,19.2644975483842,0.00432133834601665,0.461592607635403,0.000633598457085566,0.0070935001960555,0.000160998494865749,0.0434065496980712,0.000959241835119368
0.0499754510433351,2.70835287059632e-05,19.259401761932,0.00618231356220547,0.463819042816136,0.000841651143240255,0.0101509861560503,0.000231330744486827,0.0573830386903476,0.00136677033351742
0.0752619830572849,5.34842525848403e-05,19.27466309527,0.0079376988765434,0.464077010137491,0.00101468070259002,0.0130229035425251,0.000301762354323737,0.0691415874501891,0.00143229635864303
0.100568837862831,8.16610431559462e-05,19.2696079779083,0.00912465331306298,0.461616678416516,0.00117478975540165,0.0149741953036933,0.000325219079840224,0.0804782749974486,0.0019907319483196
0.125545882044692,0.000111912678780071,19.2865577960743,0.0101929562981328,0.462960953228482,0.00133205595479637,0.0167126546548493,0.000373391228772193,0.0909867399954988,0.00198125827466068
0.150836984525881,0.000150878047474216,19.2832770179397,0.0105814235821302,0.463250639447531,0.00141519923380722,0.0173525482081802,0.000381185397050986,0.096605434308588,0.00220474435113861
0.17589275947068,0.000190233344056113,19.3215467297843,0.0120393188369993,0.466100444138306,0.00149454180249168,0.0197042553240313,0.000409607046494887,0.101397804135214,0.0023730839853867
0.201227217961853,0.000234349200654551,19.3144072443517,0.0130716396456065,0.467160272856987,0.00157687643862084,0.0214017202340813,0.00046208691940545,0.106741121290147,0.00240497215205174
0.226520338344341,0.000273760660658719,19.322107788925,0.0132747732565339,0.466532331207225,0.00170542914209796,0.0217256416181463,0.000506011577692545,0.11559842944006,0.00257890534097381
0.246537164054536,0.000327982056452399,19.3333070031604,0.0143241245846974,0.465473971967415,0.00183112027303923,0.023429441827129,0.000500415621647458,0.124400311966718,0.00276877501597197
0.493100575193397,0.000925957571321016,19.369223719633,0.0204930733444985,0.469971581830951,0.00246644229151707,0.033457607265805,0.000740489861856364,0.165958446427181,0.00425484708230486
0.772763067427301,0.00235623660235465,19.3742753825719,0.0262429862868494,0.479375773647864,0.00311101723290391,0.0428339164341911,0.00100692701526344,0.205223143029283,0.00515846780025468
1.0373146567723,0.0033804822582146,19.3888821927285,0.0296151109738034,0.488545675555787,0.00359011906069775,0.0483014971698515,0.00105595771331871,0.23238263832903,0.00526426723908098
1.25088259032326,0.00446226467523023,19.3900034427445,0.0332534228213925,0.490414138424061,0.0039089495922843,0.0542323555654506,0.00129845956868394,0.252056027791683,0.00649659378574767
1.46525200365018,0.00570735185455022,19.4484650770643,0.0356509111370215,0.490892896391511,0.00404698337699595,0.0579675976518085,0.00145440603482933,0.260702186122903,0.00602247510007036
1.65456342358526,0.00721729596080651,19.5307288922674,0.0384287277725103,0.493646859458676,0.00440158423999571,0.0622210814629732,0.00145215216163465,0.281963335627234,0.00842903119677512
1.85759695329652,0.00847779473510868,19.4184883800283,0.0406304755047143,0.495489501797445,0.00442635130036681,0.0661662445068185,0.00145430055995378,0.282495426894621,0.00736949719053326
2.05242463280703,0.00990347065759536,19.4176694471017,0.04127280679103,0.498574106776313,0.00436183821061623,0.0672151079939208,0.00142855352851538,0.276655833971919,0.00699397579759673
2.22924126518813,0.0100046307432043,19.5436415027116,0.0457218662987529,0.503708856119883,0.00483415249612468,0.0739807043419679,0.00184270574502785,0.303487466194241,0.00737309407989154
