L,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
98,18.5312651710567,0.0230857869873437,0.465040606794228,0.00081376531733487,0.03939486472381,0.000835560578912231,0.0553360684213659,0.00128585081860834
102.9,18.4820159988005,0.0217677439818218,0.46714733481451,0.000824637454010907,0.0372446655767679,0.000783176503526656,0.0558224869160877,0.00139377068906374
107.8,18.5034110984645,0.0214413687263534,0.465980008920781,0.000807806938735837,0.0366438171675314,0.000796107582896243,0.0548201593885892,0.00121413347151573
112.7,18.5222053238669,0.021187610500773,0.465554761409074,0.000826536659606845,0.0361733963031975,0.000791701304236471,0.0561424483357024,0.0013777154155687
117.6,18.5175709856476,0.019842110254317,0.46571332020879,0.000815552062763336,0.0338847152450271,0.000737184153890413,0.0553774598421302,0.00124288749517966
122.5,18.5125091386738,0.0199683318001071,0.466746825390371,0.000852193856449405,0.0341095899476931,0.00074981047554077,0.057737373834922,0.00133899844444331
132.3,18.4601214223885,0.0192595871606135,0.466882165538097,0.000887200995954996,0.0329922869024085,0.000729739723377264,0.0600917339893269,0.00142460375048123
137.2,18.4934797986996,0.0195862744177484,0.466657190849136,0.000877990751992831,0.0334913919453537,0.000750158460866431,0.0594965768299702,0.00143437054567556
142.1,18.5119240620946,0.0184923127390211,0.465876640354999,0.000834974481738896,0.0315892757896486,0.000688530756330728,0.0566764014697447,0.00123813716694929
151.9,18.4771474637422,0.0183998499242274,0.468577669065114,0.000899629540319707,0.0314904854659048,0.000717059251243762,0.0607130596610918,0.00151163561773697
156.8,18.5209870618324,0.0177479708166929,0.466429605606215,0.000891005900313951,0.0303029268578278,0.000679426145017286,0.0604080019744672,0.00141785759539083
166.6,18.478332014891,0.0172944134508225,0.466670220566995,0.000887527272106304,0.0295966850564105,0.000702354867753778,0.0601411348245443,0.0014699707858348
171.5,18.4991461395891,0.0167963573294589,0.467687985176175,0.000876948900554198,0.0287119984643427,0.000660786909000808,0.059295000197346,0.0013822185257387
181.3,18.4852447254406,0.0163041735306893,0.467505288940192,0.000891570865648174,0.0278916100324328,0.000620649367634715,0.0603072242730689,0.00136921753554783
191.1,18.5298148337869,0.0168197584631916,0.467054494117498,0.000935534826025069,0.0287044133547387,0.000616557719042689,0.0633420921521918,0.00139473087515417
196,18.5208921792024,0.0158836938628274,0.465720101060022,0.000893667354422582,0.0271199949642684,0.000607773222834563,0.0606807458832036,0.00138550441168189
205.8,18.5298418998069,0.0161606547602156,0.465283720771486,0.00085930753608722,0.0275795539963328,0.000675936799372709,0.0584024091811613,0.00141801128041184
215.6,18.50918831223,0.0153290244561831,0.466122776141363,0.000948880786549688,0.0261894961422662,0.000640225354027994,0.0643741234510941,0.00175094017320305
230.3,18.4899564499654,0.0146937232798832,0.466745537993903,0.000954893145195483,0.0251302013600782,0.000591251648253812,0.0646955785346799,0.00135667322064903
240.1,18.5069174444998,0.0145191205324194,0.468176828428956,0.000961298066118447,0.0248088265604746,0.000615765904144955,0.0649304112177077,0.00150594206739774
249.9,18.4972572143052,0.0134749176346499,0.466249904289186,0.000936064736354414,0.0230366213298412,0.000491627650243815,0.0634873396651467,0.00142613221140609
264.6,18.5147724944161,0.0132963880047406,0.466104950606192,0.000953098920367071,0.0227099040838892,0.000519835260173361,0.0646627636090881,0.00137764512288063
274.4,18.5110650647824,0.0131421112240783,0.466381643555544,0.000986482020684461,0.0224508987386239,0.000482465489965227,0.0668879253562798,0.00169747718220599
289.1,18.4981336935877,0.0130237722923105,0.468560110501954,0.00100166839226536,0.0222642915514066,0.000532453038662348,0.0676018617198169,0.00161302005194508
303.8,18.5028142676718,0.0129275487429928,0.466663235414381,0.000996438408206953,0.0220942057782694,0.000482040515682172,0.0675222447126908,0.0015822857396029
318.5,18.5021032159903,0.0126236696275749,0.467148377720311,0.000980475464756855,0.0215756814166544,0.000446229703708953,0.0663715386035258,0.00150675169055813
