CV,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
0.9,15.2085031332039,0.0456687646644895,0.569421400177248,0.0106158437313313,0.0949582697265608,0.00209238016672813,0.589550119910806,0.0192818410336731
0.95,14.9535216737721,0.0472204607513955,0.593306735652803,0.012748065737958,0.0998588903635351,0.00228593627053031,0.679461753441024,0.0210846527258131
1,14.6355159385237,0.047300015970577,0.581983421616772,0.0126684823657575,0.102200554088872,0.00224138648654469,0.68835738760703,0.0297803605472242
1.5,12.297885326848,0.0517406706719192,0.815595672062445,0.0291890060070218,0.133045936467417,0.00305745097708031,1.13173407829779,0.0548362406395155
2,10.7898039259154,0.0552882839208772,1.11605145076266,0.0655663804083001,0.162039001183428,0.00388685050256548,1.85779159089469,0.244122627541851
2.5,9.56118071812237,0.052013105503316,1.67414764332695,0.270093586596555,0.172028838715871,0.00405836131280102,5.10176577587689,1.88797788615609
3,8.81365700502419,0.0518532628536306,2.24729399650404,0.302293306829315,0.186045831639922,0.00450256983759649,4.25371745971756,1.23800757058818
3.5,8.17664884000955,0.0504745553945732,2.25548839227008,0.194023073785405,0.195207794848878,0.00454184380174927,2.72027483666748,0.230189596946026
4,7.60619185288261,0.0513919886590925,4.74672520504099,0.782599482349974,0.213662422394308,0.00502185794049738,5.21369313156456,1.09613429734175
4.5,7.38800699373418,0.0510455454682331,6.70880530173518,2.74708579429419,0.218489490091447,0.00535220366382031,12.9487258120542,4.41327751948226
5,7.06550919800677,0.0500380379068594,7.13279515522867,1.41282331492998,0.223952959365135,0.00621309355255093,6.26365892940729,0.744381809911575
5.5,6.74025476346267,0.0469028283103207,8.34719189724861,1.95786113052923,0.220050682606904,0.0049004406696729,7.4172255663912,1.04477049726298
6,6.49984604914287,0.0480141501094843,11.9721798946559,3.72783493507654,0.233596416153911,0.00535526547415712,9.84653525065216,2.41018276540469
6.5,6.33595337513827,0.0445267842790646,21.1395250455578,11.6213890568372,0.222233414401901,0.00500554844306189,17.3845244466758,4.92221097775536
7,6.13933268373292,0.0437065196094085,8.07063518026078,1.17143871933392,0.22512568985023,0.00582994975253066,4.58999125801918,0.44767961415086
7.5,6.00393870417937,0.0429916860653998,12.0147044098961,1.85655351324857,0.226437435683595,0.00561872308334839,4.88646037352147,0.404733120539999
8,5.83861041237544,0.0465919143832997,19.088575065569,7.0885550573486,0.252348691884791,0.00686421080414167,11.7431391414647,3.66555498685534
8.5,5.73240670510437,0.0416663834567246,47.8930349116729,28.1829605695002,0.22985227734781,0.00563264423618544,18.6086237321776,4.88129998235442
9,5.59007745580088,0.0419639156095895,39.6767755789262,16.409852082953,0.237387681860634,0.00548506308700753,13.0788119476503,2.85984828728392
9.5,5.58832787828507,0.0427987493071802,32.7534627479347,13.1866048370641,0.242186091734431,0.00588450115665054,12.7313884979522,2.34750333511645
10,5.52324597005274,0.0435894455114916,59.3699772166509,25.9745982867931,0.249566886044006,0.00627596687433783,13.8350890037292,2.51346534790948
