CV_white,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE,lambda_lin,lambda_SE_lin,C0_lin,C0_SE_lin,CV_lambda_lin,CV_lambda_SE_lin,CV_0_lin,CV_0_SE_lin
1e-08,19.2599818491508,1.72152667294576e-05,0.460722333375768,0.00204187724781114,2.82655787626322e-05,6.259292268307e-07,0.140149116676159,0.00319809055545262,19.2600000927935,8.94389604832884e-09,0.460720652774424,0.00204191245416315,1.46848818962785e-08,3.46495657104513e-10,0.140152044388191,0.00321588393867014
1.12201845430196e-08,19.2599782614739,1.97209853773899e-05,0.462541695795,0.00196658868624085,3.2379699835993e-05,7.47332972898906e-07,0.134450570095102,0.00328957447482378,19.2600001122818,9.99403484366191e-09,0.462539565626508,0.00196657331432092,1.64090929059254e-08,4.01150203985254e-10,0.134450138347342,0.00325773648406375
1.25892541179417e-08,19.2599707511236,2.2457626884453e-05,0.463060809497409,0.00207736503323123,3.68729800864104e-05,8.3447111525788e-07,0.141864845866184,0.00327022439003513,19.2600000897748,1.10362412517076e-08,0.463058011232013,0.00207734583062906,1.81202798545323e-08,4.67075305026269e-10,0.141864391788932,0.00335068469970246
1.41253754462276e-08,19.2599928803102,2.39532973124152e-05,0.459195681913551,0.00207386146423382,3.93286630213965e-05,9.3874111179713e-07,0.142817670917588,0.00332832846285592,19.2600000924533,1.31351211069866e-08,0.459195038057821,0.0020738172358282,2.156640697863e-08,4.84850699122696e-10,0.142814825348916,0.00340376657781249
1.58489319246111e-08,19.2599689936139,2.83682176911848e-05,0.46277220510088,0.00191989971221168,4.65775314038002e-05,1.05771815664547e-06,0.131193185389499,0.00308468749427756,19.2600000935093,1.46740453714866e-08,0.462769006658122,0.00191986150802576,2.40931493443698e-08,6.15102944091542e-10,0.131191481497208,0.00307670512502619
1.77827941003892e-08,19.2600504738479,3.10334296523738e-05,0.459436772952038,0.00191871206076086,5.09533043235593e-05,1.15684977645083e-06,0.132063880021051,0.00298558726449686,19.2600000819298,1.63393843260614e-08,0.459441440531432,0.00191872440868338,2.68274505791341e-08,6.36552279265033e-10,0.132063388243363,0.00298863790734002
1.99526231496888e-08,19.2599876813875,3.50461341983995e-05,0.461615956956021,0.00199703824600299,5.7541888958715e-05,1.44449017189538e-06,0.136806133684819,0.00305017102427267,19.2600001184133,1.85754817549167e-08,0.461614858633786,0.00199697860751969,3.04988736341075e-08,7.36463675313243e-10,0.136802373673235,0.00302121632684766
2.23872113856834e-08,19.2599795640662,3.92527270101121e-05,0.462474002273254,0.00202385478013862,6.44486777942143e-05,1.517371609424e-06,0.138385957420281,0.00301117052624246,19.2600001231398,2.07145274824338e-08,0.462472147813107,0.00202396719879504,3.40109486395817e-08,8.94200268117031e-10,0.138394199259965,0.0029834682731114
2.51188643150958e-08,19.2599376390846,4.35934627623533e-05,0.458734480648776,0.00200107574204083,7.15758461974563e-05,1.68492442806967e-06,0.137943786270679,0.00334707135424688,19.2600001032753,2.2487149369828e-08,0.458728718102888,0.00200119259549241,3.69213965273986e-08,8.52415852362081e-10,0.137953574491507,0.0033500949058159
2.81838293126446e-08,19.2599801354859,5.03676742511378e-05,0.459999418433377,0.00206772445415456,8.26982011188831e-05,2.04046586878195e-06,0.142146241641474,0.00357852059857945,19.2600001049533,2.62202672432256e-08,0.459996910290213,0.00206756380975812,4.3050760589338e-08,1.01816961755899e-09,0.142135973096988,0.00352096113198409
3.16227766016838e-08,19.2599669271439,5.52208020162581e-05,0.463128673453471,0.00210607992387116,9.06665672133059e-05,2.05753165405675e-06,0.143804732367883,0.00355112744691461,19.2600001003365,2.81984116744517e-08,0.463125522861065,0.0021060918984263,4.62986535959528e-08,1.12466512543609e-09,0.143806528293045,0.00357659875049107
3.54813389233575e-08,19.2600043238786,6.48503661204825e-05,0.461018679374569,0.00201395856024009,0.000106477060226975,2.37662244811014e-06,0.138143993909142,0.00323625270372043,19.2600000929668,3.24932220042022e-08,0.461019199882427,0.00201394163596962,5.33502541821392e-08,1.14862728248222e-09,0.13814267704976,0.00320210605147038
3.98107170553497e-08,19.2600544449964,6.79176814662189e-05,0.460888168303281,0.00197466882707736,0.000111512959345166,2.64068224913762e-06,0.135487338307816,0.00331185994153729,19.2600001412434,3.46809620340527e-08,0.46089491402901,0.00197486763464148,5.69422796828456e-08,1.34207702278179e-09,0.135498995817152,0.00331889471122438
4.46683592150963e-08,19.2599951762234,8.07071511878305e-05,0.463360468828897,0.00199871447532572,0.000132512193737295,3.01403555498255e-06,0.1364054674399,0.00315375149245013,19.260000031136,3.94888091930979e-08,0.463360362516586,0.00199881223859994,6.48362299772125e-08,1.49712555034692e-09,0.136412170749056,0.00318782732395788
5.01187233627272e-08,19.2600053130931,8.90761722475966e-05,0.464308522668925,0.00206741616462101,0.000146253121415493,3.44911950410649e-06,0.140806029449383,0.00344324762982295,19.260000046997,4.64872562704076e-08,0.464309565203335,0.00206765429806022,7.63269011566555e-08,1.93789482490236e-09,0.140821931868743,0.00345509482778098
5.62341325190349e-08,19.2599842196916,9.7274062837204e-05,0.461879560250293,0.00203962780998839,0.000159713316644052,3.66629767348654e-06,0.139643968117777,0.00329150441630148,19.2600001452204,5.23231400459618e-08,0.461879231640292,0.00203975184009873,8.59087723933726e-08,2.0416499915381e-09,0.139652559248539,0.00330987747324531
6.30957344480193e-08,19.2601469055196,0.000113573277547271,0.459522209237816,0.00202176348605907,0.000186473260116678,4.62603383566511e-06,0.139130979473507,0.00364127824150757,19.2600000534278,5.85327291324444e-08,0.459536271550154,0.00202172739926206,9.61042270045444e-08,2.41924926965248e-09,0.139124238617125,0.00362975995472144
7.07945784384137e-08,19.2599053182373,0.000126460235879655,0.460632828017228,0.00202695010130738,0.000207634654591571,4.46755622293835e-06,0.139151589591019,0.00340698555744026,19.2600001423597,6.48822102924922e-08,0.460621771181698,0.00202664121507115,1.06529367930294e-07,2.65003340562837e-09,0.13913372403468,0.00339282373001309
7.94328234724282e-08,19.2598483077874,0.000135215490182267,0.461692070813627,0.00207263291991291,0.00022201053563813,5.1045723878218e-06,0.141961302666944,0.0034838683133864,19.260000098816,7.0214837761377e-08,0.46167538063288,0.00207215375878191,1.15284948975052e-07,3.05674806355996e-09,0.141933614282124,0.00349197749450402
8.91250938133746e-08,19.2599114990177,0.000149880791226229,0.458842503442641,0.00198623183995847,0.000246088710120624,5.92011018900515e-06,0.136888290171248,0.00315221496739583,19.2600000871952,8.166745674931e-08,0.458836415918382,0.00198661617668177,1.34088874803697e-07,3.32368521036658e-09,0.136916594605415,0.0032240949185797
1e-07,19.2600145562355,0.000170668174984376,0.46227378168103,0.00208721699692449,0.00028021793829853,6.40855644915238e-06,0.142780316402463,0.00343024496038584,19.2600001057751,8.85590298931348e-08,0.462275397594106,0.00208738230796722,1.45404070768033e-07,3.39898554066782e-09,0.142791125702763,0.00347332276923033
1.12201845430196e-07,19.2599466004324,0.000200277219842683,0.464099005465059,0.00207584783819439,0.000328833818332046,8.0481992421764e-06,0.141444113590654,0.00368504324479851,19.2600001606279,1.02446519563065e-07,0.464098257477013,0.00207721589286232,1.68205782697003e-07,3.86096421022976e-09,0.141537558211379,0.00365457898575385
1.25892541179417e-07,19.2597410264298,0.000218435367656148,0.458389386288455,0.00203457500133674,0.000358651387047102,8.07898865253129e-06,0.140358639774777,0.00307330044526838,19.2600000505447,1.14312022063606e-07,0.458364246633431,0.00203472068921854,1.87687618230402e-07,4.25611997682587e-09,0.14037638902809,0.00307125006843159
1.41253754462276e-07,19.2599950919358,0.000248400029844298,0.461874925223332,0.00198284966663145,0.000407845309104298,9.11145092529305e-06,0.135757991218706,0.00327080063239094,19.260000246025,1.27505987487866e-07,0.46187784744969,0.00198341619703408,2.09350638951214e-07,5.06565253239141e-09,0.135795920183857,0.00326448801082653
1.58489319246111e-07,19.2595092593581,0.000274251232417684,0.462195785389172,0.00207376953274528,0.000450301476465032,1.12798547181208e-05,0.141884354488791,0.00364897134902984,19.2599998670821,1.46469155497593e-07,0.462140252115884,0.00207189306544481,2.40486054792448e-07,5.87839711375954e-09,0.141773003436,0.00362422883508663
1.77827941003892e-07,19.2597313190729,0.000310213693401425,0.458591907599299,0.00201141916063031,0.000509343467086784,1.3695879236769e-05,0.138699915360337,0.00332737527420392,19.2599999655086,1.53350093596568e-07,0.458574538231917,0.0020130745263918,2.51783788179436e-07,5.85470254839307e-09,0.138819321011743,0.00333170994912935
1.99526231496888e-07,19.2596637941257,0.000347838256100336,0.458445553819116,0.00202919490058197,0.000571121676045826,1.37087734248383e-05,0.139970333418694,0.00321624205850997,19.2599998441224,1.83161901916211e-07,0.458416049396028,0.00203026270940032,3.0073146174004e-07,7.1282162676567e-09,0.140053002478172,0.0031637338304915
2.23872113856834e-07,19.2601953657724,0.000391143671386454,0.460658139821494,0.00195202281677644,0.000642207864692663,1.48965501673413e-05,0.134000414016847,0.00315216191777642,19.2600003191939,1.9596565034089e-07,0.460678373178567,0.00195190538484167,3.2175378398919e-07,7.07911123612301e-09,0.133986467622925,0.00317452880731495
2.51188643150958e-07,19.2589153981752,0.000441669611065684,0.460871433743843,0.00198603895230469,0.000725213188475095,1.70344168603187e-05,0.136272421140947,0.0029483087843876,19.2600002385039,2.16688266527353e-07,0.460768017344024,0.00198431669233883,3.55778014524723e-07,8.44331614477749e-09,0.136184806902455,0.002948925094954
2.81838293126445e-07,19.2599696244877,0.000494329591239697,0.458484824462467,0.00198272353745269,0.000811635456137973,1.93720328168643e-05,0.136753105320936,0.00338081410005565,19.2600003001731,2.5265479802105e-07,0.458478790158094,0.0019825195738269,4.14831054550472e-07,1.01647558552593e-08,0.136740837171498,0.00336449202902355
3.16227766016838e-07,19.2587192205345,0.000544683800149463,0.461338821134941,0.00207694879250449,0.000894369658409954,2.33028289732583e-05,0.142365837578831,0.00319752737560442,19.2599998991732,2.90201026540461e-07,0.461231430380066,0.00207957272426536,4.7647779231101e-07,1.14378621459404e-08,0.142578886335238,0.00321932374353803
