CV,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
0.7,19.2600047992527,5.62911905671246e-08,0.455408325272273,0.00465465853023751,9.24238473718376e-08,2.51224535287974e-09,0.323211541578255,0.00778571214976038
0.75,19.2600048435046,5.92400908372657e-08,0.458581322024469,0.00518662813595034,9.72656120095465e-08,2.95595481406304e-09,0.357658663756946,0.011467171433975
0.8,19.2600049254174,6.29872847535378e-08,0.457444914465333,0.00541917222179764,1.03418085416954e-07,2.49227819658837e-09,0.374622751542129,0.01219711734478
0.85,19.2600049262763,6.35710740336433e-08,0.457735512548166,0.00586197175456138,1.04376602196626e-07,2.76746709765869e-09,0.404975839012204,0.0166516030701527
0.9,19.2600050618984,7.18883756535346e-08,0.456702262273622,0.00609278107724436,1.1803268152026e-07,3.66032724371631e-09,0.421873659940907,0.0134487564665789
0.95,19.2600051085341,7.4998967348669e-08,0.46178231337387,0.00661364401720398,1.23139925273075e-07,3.63611184673945e-09,0.452901250702034,0.02061554417499
1,19.2600050305044,7.49053476590323e-08,0.470940692511177,0.00689908048616892,1.22986212700434e-07,4.38845169119196e-09,0.463260203334367,0.0194825229500837
1.5,19.2600058282747,1.05080697691065e-07,0.455304215949462,0.00945699630924744,1.72530759225179e-07,5.61717666257485e-09,0.656827833203009,0.0308440795678189
2,19.2600065663931,1.33927834005162e-07,0.467610230994743,0.0185339527104672,2.19894523965666e-07,7.53105208911031e-09,1.25338370989549,0.273078506348832
2.5,19.2600072583933,1.5586344289128e-07,0.465067074359018,0.0171270832726172,2.5591033112266e-07,8.64464026527495e-09,1.16457594620062,0.129100898949356
3,19.2600076755992,1.74976667884346e-07,0.469862059348716,0.0171990807304599,2.87292101447282e-07,8.59937585598864e-09,1.15753693423883,0.075359593299822
3.5,19.2600086191449,2.29720494683081e-07,0.464033359577897,0.0193598976467707,3.7717531844562e-07,1.64167486088614e-08,1.31933126289064,0.0983165164957069
4,19.2600091616117,2.20777775819736e-07,0.445494491345187,0.0223221291332607,3.62492365646408e-07,1.20066174699972e-08,1.58450377405024,0.141978307687617
4.5,19.2600095462117,2.34961547768837e-07,0.439723448789249,0.022757766428916,3.85780521928206e-07,1.68290508803929e-08,1.63662812551038,0.179480281203253
5,19.2600101132554,2.56374614505811e-07,0.476215035054057,0.0465225088133598,4.20938364683431e-07,1.47810813270463e-08,3.08929957028287,0.826016855167772
5.5,19.2600105886696,2.73983993768049e-07,0.490462200476658,0.035083936673984,4.49850979441369e-07,1.48039156448543e-08,2.2620529995396,0.20781980313828
6,19.2600111206315,2.87196845357991e-07,0.50039571323356,0.0669384400127459,4.71544986375184e-07,1.92789486643079e-08,4.23021076841293,1.19709073522619
6.5,19.2600111778205,2.9977976840154e-07,0.423600426949525,0.0250982473549015,4.92204732299598e-07,1.87961125783761e-08,1.87364369510521,0.177654464009478
7,19.26001200762,3.12675607608141e-07,0.400320987726324,0.0261224219973587,5.13378230723639e-07,2.05503831064208e-08,2.06350289004112,0.285671654844462
7.5,19.2600121562353,3.40380404953717e-07,0.477884912247673,0.0454751491407843,5.58866392094013e-07,2.59099134988254e-08,3.00919833489528,0.68769646536187
8,19.2600124731202,3.49564663971305e-07,0.489476769749052,0.045659993080821,5.73945904346364e-07,3.17481456824508e-08,2.94987596974111,0.338134338956729
8.5,19.2600131898326,3.56436985741849e-07,0.451647589938184,0.044238755289211,5.85229462804433e-07,2.39111383332151e-08,3.09744213588906,0.52040735146429
9,19.2600136086961,3.79128043016409e-07,0.49366216336663,0.0540668897883162,6.22485614565104e-07,2.79837987604699e-08,3.46339116950715,0.487395655013357
9.5,19.2600136107719,3.74504237814436e-07,0.440398016727675,0.0343794078072544,6.14893846293349e-07,2.5468048166897e-08,2.46861314423052,0.310448151864808
10,19.2600142495332,3.74715757996179e-07,0.44320646617358,0.049114448964757,6.15241118242213e-07,2.17716683318379e-08,3.50431540617242,0.599931706265937
