CV_white,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE,lambda_lin,lambda_SE_lin,C0_lin,C0_SE_lin,CV_lambda_lin,CV_lambda_SE_lin,CV_0_lin,CV_0_SE_lin
1e-08,19.2600303453596,0.000137767337321293,0.478753030202187,0.0490684004884444,1.01158945961237e-05,5.05849407362132e-06,0.144945709117301,0.0725078130100436,19.2600001993531,1.94936220054842e-07,0.478752091174401,0.0490782512378141,1.43136782630233e-08,7.15348559234693e-09,0.14497509211461,0.0724657747560003
1.12201845430196e-08,19.2603257496328,0.000503542713104821,0.484112571263763,0.0531756213173804,3.69732549367997e-05,1.84955447916061e-05,0.155339252311385,0.0777060034077007,19.260000028729,2.3816118144282e-07,0.484154878155415,0.0532297242504932,1.74875790407494e-08,8.74788475104131e-09,0.155483712656641,0.0777707998599115
1.25892541179417e-08,19.2601795127478,0.000662308720034588,0.382840538892511,0.0385919752356916,4.86312172599918e-05,2.43277755602697e-05,0.142558818183059,0.07116887240779,19.259999710648,3.19907952572862e-07,0.382854099953772,0.0386466279981475,2.34900400849658e-08,1.17493927494735e-08,0.142755648853094,0.0713242173409325
1.41253754462276e-08,19.260364292285,0.000450775707300011,0.491119979260358,0.0428258191445427,3.30987051531188e-05,1.65576334640311e-05,0.123319874595943,0.0616888162715032,19.2600003044397,2.17720597106563e-09,0.491161770849288,0.0428775835449714,1.59866779007835e-10,7.99719466647843e-11,0.123458428098409,0.0617056053706389
1.58489319246111e-08,19.2607944458677,0.000513611503171418,0.418144100357416,0.00587896615322095,3.77116507637973e-05,1.88643170848205e-05,0.0198833695357912,0.00994648030004132,19.2600001275693,2.33385810233244e-07,0.418209264382307,0.00583577692332829,1.71369354055628e-08,8.57068029465312e-09,0.0197342229712307,0.00987108123642401
1.77827941003892e-08,19.2611119977786,0.000179868683083839,0.466518967137854,0.0346460944980046,1.32065444140863e-05,6.6031928879817e-06,0.105026762412126,0.0525311454915392,19.2600007006901,2.68909623457603e-08,0.466629152610669,0.0346663954883061,1.97453594346316e-09,9.8776197625173e-10,0.105063488605172,0.0525563480067045
1.99526231496888e-08,19.2586296859978,0.000480289284450208,0.413343105400946,0.0612903467475988,3.52689485704062e-05,1.76135971137102e-05,0.209699009080909,0.104809404268831,19.2600001995943,8.96227364322044e-07,0.413223069680568,0.0613119991671558,6.58077300342307e-08,3.29171029484944e-08,0.209834026995219,0.104959223864826
2.23872113856834e-08,19.2604414936885,0.00118919254652106,0.494248345802614,0.0271311952722534,8.73174287367284e-05,4.36791623109328e-05,0.0776316292067815,0.0388289452606784,19.2600004976682,2.62099543846261e-07,0.494286455166683,0.0270085266850471,1.92453125660127e-08,9.62313788538315e-09,0.0772746741053807,0.0386504073343917
2.51188643150958e-08,19.2617321143298,0.000581040005492639,0.479792501200173,0.00796106637024874,4.26604757646749e-05,2.13407402788182e-05,0.0234656606837232,0.0117378559436012,19.2600009667118,3.4078390243053e-07,0.479971173280127,0.00801605369202429,2.50229071892911e-08,1.25104766862559e-08,0.023618943134644,0.0118125210671515
2.81838293126446e-08,19.2619267017421,0.000464565635081016,0.475312175172716,0.017730857384454,3.41084789656385e-05,1.70517127416419e-05,0.0527552633729323,0.0263865547412898,19.2600012967491,6.80661784713266e-08,0.475501938258234,0.0176851654706992,4.99792867352016e-09,2.49960963162154e-09,0.0525983152730968,0.0262988417288536
3.16227766016838e-08,19.260578561204,0.00137006905584514,0.515964143416577,0.0691762756191814,0.000100597717457288,5.01461695724653e-05,0.189606251564888,0.0948384212769899,19.2600008555699,9.63270890608214e-07,0.516062621669242,0.0693270659675556,7.07305657955557e-08,3.53818465388302e-08,0.189983294302004,0.0949705355500854
3.54813389233575e-08,19.2591306357581,0.00219460184210263,0.435670386301117,0.00678148644270221,0.00016115139088096,8.04182617527349e-05,0.0220131328680445,0.0110089019140516,19.2600002912952,1.1763529137454e-06,0.435582781376643,0.00658301076689074,8.63766469156158e-08,4.32012909775289e-08,0.0213731660337027,0.0106877382606812
3.98107170553497e-08,19.2607264816615,7.34950966414516e-05,0.439423344138272,0.0219664229120525,5.39635732521426e-06,2.69714672928772e-06,0.0706954093664914,0.0353651088777661,19.2600002063876,3.78036732584519e-07,0.439487697296013,0.0219868559016302,2.77582901644481e-08,1.38770887602509e-08,0.0707508082736733,0.0353829104332271
4.46683592150963e-08,19.2572461971367,0.00183053052031923,0.405023037272486,0.0286016449000356,0.000134430492380486,6.72402706325881e-05,0.0998679837971709,0.0499300929962518,19.2600004504929,2.39729512685471e-07,0.404801959301473,0.028744667712808,1.76027372902897e-08,8.8040113020562e-09,0.100422189150242,0.0502346113825451
5.01187233627272e-08,19.2601009310748,0.0022434810561105,0.411784766581669,0.0126083047824009,0.00016473233176881,8.24072150654961e-05,0.0433013483471552,0.0216599479517385,19.2600005664406,1.74136400232783e-06,0.411770442476574,0.0124071629593382,1.27863993597765e-07,6.39423633092546e-08,0.042612038936397,0.02131241671184
5.62341325190349e-08,19.2633974313372,0.000676861709449028,0.456792374618573,0.0533660920029951,4.96914945956864e-05,2.48579806301869e-05,0.165219594885982,0.0825975580477915,19.2600001993048,7.89758587416145e-08,0.45712722213462,0.0533385662037314,5.79899944842599e-09,2.89927332800851e-09,0.165013414363317,0.0825346176430766
6.30957344480193e-08,19.2587412210443,4.9464881103134e-05,0.440202696073755,0.0153514638865056,3.6323197302628e-06,1.81561438986301e-06,0.0493187538927284,0.0246574515144355,19.2599996186858,4.59063336677445e-07,0.440088391086211,0.0153402498184516,3.37078717326469e-08,1.68589963486071e-08,0.0492955274050748,0.0246588637993408
7.07945784384137e-08,19.2629356252519,0.00104992329846887,0.444018327561399,0.0273752177439377,7.70814893966481e-05,3.85489226473783e-05,0.087191004972739,0.0435890434149234,19.2599997316154,3.71502803631074e-07,0.444267232860656,0.0272994735045613,2.72785208035218e-08,1.36261746334364e-08,0.0869010424811247,0.0434526958869058
7.94328234724282e-08,19.2645043247332,0.0045139711149762,0.433094763682873,0.0605244459674706,0.000331372095713038,0.000165768621526299,0.197634558345734,0.0987620685123494,19.2600010193037,1.13545307911522e-06,0.43356338664165,0.0609755517321121,8.33734713883774e-08,4.17035071630191e-08,0.19889237626979,0.0993715007881697
8.91250938133746e-08,19.259634426921,0.00129947421426913,0.422928199145677,0.0840268078317205,9.54189480982436e-05,4.77172100933935e-05,0.280974055356393,0.140476058292829,19.2600036499948,2.74419423362815e-06,0.422878256408968,0.0841185911494527,2.01499271418052e-07,1.00734708731285e-07,0.281314185934934,0.140720437754722
1e-07,19.2595286632659,0.00076771815112231,0.399658504001301,0.0813790591083208,5.63730006263331e-05,2.81991940766172e-05,0.287964269324729,0.14399769945725,19.2599997631434,1.65679805697039e-06,0.399594031593175,0.0813134693056303,1.21654533286376e-07,6.08557556281002e-08,0.287778600288771,0.143628074621649
1.12201845430196e-07,19.2482755192863,0.000784634242350535,0.427175705912768,0.0249060962443949,5.76488208474899e-05,2.88027623467717e-05,0.0824544528330118,0.041237872313675,19.2600023562969,5.4656335617409e-06,0.426123854134258,0.0247245748090169,4.01327734388798e-07,2.00749818891531e-07,0.0820555542234516,0.0410272842826147
