L,lambda,lambda_SE,C0,C0_SE,CV_lambda,CV_lambda_SE,CV_0,CV_0_SE
205.8,19.331417810515,0.0159131771167211,0.467719330654675,0.00173751451782153,0.0260311400807539,0.000558897434449954,0.117474369430798,0.00264515712157522
215.6,19.3284685242559,0.014884683933832,0.464973752804675,0.00166637459005862,0.0243524226575713,0.000565322087053869,0.113329819324839,0.00255112870416378
230.3,19.3111854301398,0.0145566084754377,0.469441360906812,0.00183808122485434,0.0238369819171485,0.000516322313193555,0.123817875436111,0.00289300660485507
240.1,19.3036984675291,0.0145182668307543,0.464538281834453,0.0017469119645947,0.0237834169138544,0.000532390643590367,0.118918523961117,0.00265866809422215
249.9,19.3229067753426,0.0141616932053699,0.468237985774888,0.00177863174689012,0.0231762263173811,0.000528521605199279,0.120121126643513,0.00263400596004899
264.6,19.3125967920465,0.0139535153966435,0.464879598187765,0.00181089264164975,0.0228477249821696,0.000477751774829807,0.123183408520745,0.00314332213716004
274.4,19.324470774603,0.0140393212977862,0.468396187305182,0.00182449384391466,0.0229740998456024,0.000488968916109618,0.123176837901264,0.00274202530974001
289.1,19.3150279314658,0.0135520650450516,0.46766118675927,0.00183523057170149,0.0221875902500251,0.00049834510026864,0.124096435677418,0.00286637505890865
303.8,19.326077023687,0.0125590874462088,0.466472613186843,0.00182937296838581,0.020550120758895,0.000484720964460574,0.124015539315814,0.00289950456742737
318.5,19.3229313347286,0.0121794492406199,0.468302929976172,0.00191381407779305,0.0199321725982359,0.00044379384331637,0.129232834486614,0.00291889536971437
333.2,19.3155913575338,0.012331506391807,0.466407675570735,0.00189222401483483,0.0201886892599978,0.000443574097028741,0.128294152166859,0.00280883198498786
347.9,19.347204034844,0.0116933402772059,0.465835050228724,0.00179377033634973,0.0191126266434982,0.000441573655644388,0.121768421232501,0.00269474880106057
367.5,19.3249772711882,0.0114285016004881,0.468103444055646,0.00188735554315731,0.0187012356047134,0.000412689667743026,0.127500499018158,0.00315421637337486
382.2,19.3372534919793,0.0112971323766738,0.467557981714023,0.00187586974190047,0.0184745312220985,0.000419525792411151,0.126872413907928,0.0029284369082886
401.8,19.3164205929931,0.0109881351705129,0.470085717650012,0.00193056909120263,0.0179885989794755,0.000387848026331478,0.129869836059707,0.00313111770428437
421.4,19.3120862758836,0.010514608739485,0.464596155863866,0.00193424664869115,0.0172172554778851,0.000407231075262763,0.131654661563835,0.00319316994480061
441,19.3190774507107,0.0104603145585257,0.4695996858541,0.0019288697261394,0.0171221525102086,0.000361911942657602,0.12988981526365,0.00330405176344399
460.6,19.3195127774139,0.00990905791097439,0.465622483229492,0.00194265782588173,0.0162194527502901,0.000355015288643591,0.131935713274164,0.00301454222839089
485.1,19.3073357369703,0.00980372785097296,0.470306609660811,0.00201451157993164,0.016057166038781,0.000368299838884978,0.135453017978266,0.00293587415664104
509.6,19.3031576200024,0.00987150157353471,0.467975579438288,0.00197896208541494,0.0161716696888796,0.000344219305516645,0.133725516201923,0.00295690460067594
534.1,19.3103781213813,0.00931190256926262,0.470846977200373,0.00196286574237936,0.0152492205400364,0.000322390126559871,0.13182895479001,0.00315828350747245
558.6,19.3032073174532,0.00927594514956438,0.468246995671704,0.00204191442585347,0.0151959794250839,0.000355552232588861,0.137899451198596,0.00319659080705854
583.1,19.296349624689,0.00911608798395117,0.467858170089469,0.00201629891190066,0.0149394066445056,0.000331464392229199,0.136282690203015,0.00321191514433436
612.5,19.2990730396786,0.00898629317295501,0.470465185977499,0.00207951497442816,0.0147246212759204,0.000327893149019365,0.139776628401454,0.00347016824849665
641.9,19.3079092911684,0.00889128652022875,0.468164894461508,0.00200631053598755,0.0145622792758491,0.000336830646746293,0.135518725610801,0.0030074344271859
671.3,19.3105244494309,0.00853399261779742,0.469117951145932,0.00196595690066623,0.0139752052192958,0.000314109639165359,0.132523208132292,0.00292787426311529
705.6,19.3137254167923,0.00831725542904929,0.466347596304515,0.00197952640246183,0.0136180205887824,0.000294028666864047,0.13423060759449,0.00297308994694019
739.9,19.3125582038194,0.00795549597184106,0.469473374125784,0.00211134834673832,0.0130264913233179,0.000285980107911348,0.142216152772387,0.00360070814861391
774.2,19.3136748872369,0.00739760599439591,0.471851701152752,0.00216273272640764,0.0121122905461482,0.000255822496013952,0.144943026991862,0.00316642035515489
813.4,19.3213439146105,0.00746169898663277,0.469249433254113,0.00207872560897559,0.0122123823873798,0.000274851320036318,0.140085572598308,0.00325384565897189
852.6,19.3005365884146,0.00736058025236859,0.469923700532643,0.00210313441845082,0.0120598711809461,0.000285351170628973,0.141527124089717,0.0032997469105202
891.8,19.3191456358129,0.00760537961344221,0.469078409042941,0.00224164244034167,0.0124489573721651,0.000269043119625032,0.151119635321541,0.00346537016695599
935.9,19.3155614091846,0.00709229952317335,0.468251813019868,0.00208002106621307,0.0116112702428051,0.000256408596854649,0.140471514844645,0.00303246643173492
980,19.3141517512583,0.00691768600867739,0.470273177930554,0.00216624959240433,0.0113262255609412,0.000258857047454651,0.145666030168973,0.00328635404633229
