k_d,mean_pos_cilium,std_pos_cilium,SE_std
0.460729437973378,-2.42835185261635,3.78644656222398,0.00351621221718954
0.408021917945934,-0.0238898220500733,3.62975388561535,0.00348092564014999
0.361344146483426,2.17503954938409,3.45623283101323,0.00275676105041267
0.3200063194035,4.62213849027195,3.46956829879597,0.0025541912875332
0.28339754623055,6.70450067374763,3.67576563274861,0.00269786923806411
0.250976822455269,8.65407958586432,3.55120114177212,0.00245858150577218
0.222265034569144,11.3244868806212,3.68477886488411,0.00268333432520968
0.196837879724242,13.3845979856362,3.69036628759844,0.00282745642615233
0.174319595385041,15.9466535753955,3.84753023634616,0.00272463447553887
0.154377406309065,18.2250302955721,3.87167914476581,0.00287952059964022
0.136716606793819,20.4455329740937,3.9339824776997,0.00279310924504189
0.121076205515432,22.4639602458142,3.80138198213257,0.00272912566486286
0.107225068598454,24.5758849191865,3.99431044540946,0.00290267334299051
0.0949585039190695,27.1381714552143,3.88425852456376,0.00288942087454436
0.0840952361645579,29.1912320736394,4.04939241979338,0.00291739154837747
0.0744747279464306,31.8435225807511,4.20034167894912,0.00285452294881841
0.0659548073786424,33.9244323872931,4.12074405948708,0.00308845517863677
0.0584095670612289,36.0101023982389,4.37182429873366,0.00320103111084026
0.0517275034205463,38.4146949500599,4.40284294570277,0.00308617697529913
0.0458098689092789,40.4054606164236,4.5176855393409,0.00333295896399092
0.0405692127150248,42.6878293331381,4.43156202639463,0.00302417510645971
0.0359280884120486,44.9869662867515,4.59884009957573,0.00326697328012583
0.0318179094578763,47.5584563187626,4.55223806782517,0.00330004342472224
0.0281779356212592,49.5818355842414,4.64960414093442,0.00358490519332841
0.0249543753629382,51.9728377393907,4.66555861113893,0.0033657813992241
0.0220995909041896,54.292098068557,4.71888287883919,0.00349159467533107
0.0195713942356533,56.3848085222212,4.95558394230239,0.0037380964618201
0.0173324236628628,58.3096321987551,4.90937372332658,0.00368051382042939
0.0153495916750633,60.8318336934401,4.91470668280675,0.00350075974147015
0.0135935959779244,62.9764134568247,4.79832608658812,0.00368873710599737
0.0120384864641867,65.610856893177,5.06523428629539,0.00345246937003062
0.0106612817229349,67.3670639127675,5.0738524468026,0.00367569918839556
0.00944162942026981,69.7801371215765,5.06500874302572,0.00379564340124703
0.00836150553248531,72.486474369682,4.94465185382011,0.00338646320147136
0.00740494798701647,74.4410745209828,5.13355777593761,0.00342161209128139
0.00655782077490549,76.7874650024338,5.12567880798298,0.00375953082009271
0.00580760504883832,79.1284297716456,5.24160352696949,0.0036765172471788
0.00514321411959881,80.965655409857,5.50469678481474,0.00419958585247591
0.00455482961695748,83.3357421511752,5.40700133714292,0.00420513904408075
0.00403375639378034,85.7025075857318,5.36806156484548,0.00368565317963128
0.00357229402913045,88.0401044578828,5.57270475055165,0.00395385910610745
0.00316362303143486,90.062530457436,5.27619329551802,0.00361417480809546
0.00280170406002703,91.8617532248278,5.70985590473829,0.00420322007127089
0.0024811886757607,94.5253808733243,5.78292741222118,0.00405227557850268
0.00219734030176755,96.6776595387572,5.78653667127082,0.00414558589393878
0.00194596422631648,99.1482317298967,5.61826200809543,0.00404215576804307
0.00172334561335694,101.260739885716,5.89840383736894,0.00407917357334122
0.00152619460466566,103.702757766095,5.73242363790387,0.00366963621772205
0.00135159770231656,105.992328273133,5.72573122165675,0.00389481811651327
0.00119697471300366,107.792723353321,5.96021775828326,0.00421574365544682
0.00106004061794019,110.494629281505,5.81588353661774,0.00412867665457399
0.000938771804847301,112.829541819317,5.88301773120812,0.00428364504680298
0.000831376163008483,115.123710971903,5.93451743075439,0.00403290446299814
0.000736266599454524,117.031198958883,6.27975149441244,0.00419359025678972
0.00065203758490102,119.590930471849,6.07613031350842,0.00455031022283189
0.000577444382834339,121.918442549536,6.21707451256017,0.00422891642199009
0.000511384654793401,123.664750800215,6.23148154183935,0.00416947965055101
0.000452882170010113,126.441006105566,6.40179368550024,0.00435338918770014
0.000401072378669496,128.667692644008,6.2613041522255,0.00448421804971286
0.00035518963559112,130.873421711169,6.25027557774325,0.00437630307658706
0.000314555885523383,132.957508979509,6.35313374773451,0.00476401326143841
0.000278570642841903,135.308868525155,6.36397675563375,0.00454330779350183
0.00024670211757199,136.952494276567,6.44777218267768,0.00473648140698918
0.000218479356595536,140.068137497258,6.49816972704859,0.00455561529828459
0.000193485283905074,142.10268405525,6.64548595621728,0.00453437966744116
0.000171350537053861,144.157170429795,6.84222065271772,0.00480712355481625
0.000151748008717043,146.44161387484,6.42811586196594,0.00454772230491764
0.000134388012699075,148.809250363214,6.77620007671964,0.00454673014080117
0.00011901400295066,150.926772901871,6.66543677042006,0.00485342204258843
0.000105398782330807,153.412057390415,6.64714754907474,0.00481424133219126
9.33411450871237e-05,155.675605223027,6.84420816630553,0.00473068171297894
8.26629034368725e-05,157.72328452557,7.02147888173676,0.00471911141777444
7.32062543076339e-05,159.703629407855,6.81175955575936,0.00481184094246055
6.48314473232433e-05,161.881109840404,6.87562688359031,0.00458917419376168
5.74147195725076e-05,164.509971466445,6.60097432094804,0.00451387539673353
5.08464666407016e-05,166.715451440488,6.86567232076704,0.00507714642191848
4.50296228753497e-05,168.855778847132,6.75942075795004,0.0050697802994804
3.98782269498567e-05,171.345964203034,6.92211905175171,0.00497829571941846
3.53161515268836e-05,173.603179806558,7.20855397029031,0.00522517933532682
3.12759782484334e-05,176.135965239951,6.97409756062846,0.00443382622839534
2.76980014272465e-05,178.008446619997,6.98648437442723,0.00509306432360515
2.45293457160586e-05,180.763924662225,6.87750516455573,0.00512847581335382
