k_d,mean_pos_average,std_pos_average,SE_std
0.460729437973378,-2.3564845051509,3.75267537102288,0.00351517856839586
0.408021917945934,0.036034134933374,3.60931656907755,0.00339831115318352
0.361344146483426,2.23610530196362,3.44331107024109,0.00273668066102299
0.3200063194035,4.67966513671951,3.46338660706184,0.00254627259004978
0.28339754623055,6.76387971850748,3.66902759560522,0.00266851326504672
0.250976822455269,8.7129518801793,3.54386884568157,0.00245332135730075
0.222265034569144,11.3826081481339,3.67979197039456,0.0026503280609683
0.196837879724242,13.4438175901606,3.68473984762256,0.00284925122506719
0.174319595385041,16.0034243374981,3.84253863781468,0.00267966311417467
0.154377406309065,18.2820434864911,3.86625149072112,0.00285358451278439
0.136716606793819,20.5024235841315,3.92816586964655,0.00277071264963812
0.121076205515432,22.5220581930316,3.79607058052139,0.00273706725163835
0.107225068598454,24.6333513669878,3.99097215637062,0.00292373933962499
0.0949585039190695,27.1963822692679,3.88077892561493,0.00287014341228486
0.0840952361645579,29.2485403549434,4.0468113446352,0.00289288702467334
0.0744747279464306,31.9001264052793,4.19753109523366,0.00286706987765172
0.0659548073786424,33.9833863012481,4.11498702773237,0.00305620142651685
0.0584095670612289,36.0668830551127,4.36770679313729,0.00316010105089649
0.0517275034205463,38.4710549933086,4.39859481093669,0.00304018359431398
0.0458098689092789,40.4632174151688,4.51284864535981,0.00337024281528277
0.0405692127150248,42.744847428446,4.42733636313545,0.00304131734465121
0.0359280884120486,45.0448971958153,4.59430879333099,0.00325740576907339
0.0318179094578763,47.6153382670926,4.54991261886749,0.0032491795773009
0.0281779356212592,49.6401996431377,4.646338419504,0.00352156277455126
0.0249543753629382,52.0295961346713,4.66290895758409,0.0033544556161281
0.0220995909041896,54.3491278722208,4.7157576286333,0.00342021032149156
0.0195713942356533,56.4423682096686,4.95161411253384,0.00374607336485854
0.0173324236628628,58.3679982089378,4.90545634037538,0.003698680719811
0.0153495916750633,60.8911441841298,4.91202298873336,0.00352279813625372
0.0135935959779244,63.0351729096573,4.79203624544891,0.00367372593158551
0.0120384864641867,65.6693559653001,5.06110107320558,0.00351505871761242
0.0106612817229349,67.4247022765119,5.07194761777423,0.0037061550731044
0.00944162942026981,69.8390089587181,5.06187076213252,0.00377296591997752
0.00836150553248531,72.5443573372582,4.94159027988502,0.00338702240443261
0.00740494798701647,74.4997718784646,5.13015662217005,0.00343789825949571
0.00655782077490549,76.8448867956149,5.12447590109823,0.00378746978458602
0.00580760504883832,79.1871151799912,5.23950901249678,0.00371060972135645
0.00514321411959881,81.0241259480167,5.50077617080604,0.00421822207233306
0.00455482961695748,83.3988041628102,5.40247208248551,0.0041932009046165
0.00403375639378034,85.761058247833,5.36217512590094,0.00366463450907459
0.00357229402913045,88.0991002755399,5.56855094344909,0.00390480841354785
0.00316362303143486,90.1201159584807,5.27349566309159,0.0036149751809721
0.00280170406002703,91.922734133635,5.7054623754556,0.00423843953150567
0.0024811886757607,94.5859174217182,5.78105737744547,0.00408999792429634
0.00219734030176755,96.7386661679612,5.78427482086426,0.00414847892901186
0.00194596422631648,99.2083182945173,5.61607311279748,0.0040116637718222
0.00172334561335694,101.320426970681,5.89606837822545,0.00402047783341612
0.00152619460466566,103.76360270484,5.7299087402915,0.00369408354363042
0.00135159770231656,106.051858769775,5.72187660314784,0.00393490036537657
0.00119697471300366,107.854451876967,5.95567381165328,0.00426405352398918
0.00106004061794019,110.555550638898,5.81408249979629,0.00413347684200554
0.000938771804847301,112.892312294353,5.88104417763665,0.00426885040509904
0.000831376163008483,115.186707952136,5.9305765682323,0.00406191589843617
0.000736266599454524,117.09292035988,6.27814317784373,0.00417985636165188
0.00065203758490102,119.654013671602,6.07228271217956,0.00460858517089752
0.000577444382834339,121.980294978652,6.21411938588701,0.00419443737849766
0.000511384654793401,123.728414279975,6.22901116852596,0.00411413053219202
0.000452882170010113,126.503595674414,6.39678573846888,0.00437450685924465
0.000401072378669496,128.7309638314,6.258402551504,0.00449756191283075
0.00035518963559112,130.935876210679,6.24679948562923,0.00436946106511191
0.000314555885523383,133.020397753689,6.34938311259033,0.00467480682068749
0.000278570642841903,135.373254192733,6.35952382454498,0.00453246787952028
0.00024670211757199,137.018104075138,6.44375855762204,0.00479955266221096
0.000218479356595536,140.133120872403,6.49548848479027,0.00457934814663972
0.000193485283905074,142.168785300239,6.64254870754338,0.00457558865592279
0.000171350537053861,144.223221741158,6.84108843956451,0.00484424089497728
0.000151748008717043,146.508142206197,6.42622135353038,0.00457628370337871
0.000134388012699075,148.87776107531,6.7730689558767,0.00459042822549621
0.00011901400295066,150.996007409764,6.66298480300264,0.00484942296337573
0.000105398782330807,153.479221951866,6.64363963868341,0.00474771525980307
9.33411450871237e-05,155.744161726605,6.84267026169722,0.00477838641047103
8.26629034368725e-05,157.79267174316,7.01926472035197,0.00481609397668259
7.32062543076339e-05,159.774724445077,6.80801297961314,0.00486774088818013
6.48314473232433e-05,161.950878317089,6.87429025596267,0.00467434917058852
5.74147195725076e-05,164.582796702052,6.60010560175345,0.0045484628743554
5.08464666407016e-05,166.79030552405,6.86279030740325,0.00501772111562496
4.50296228753497e-05,168.929295861425,6.75501699109839,0.00509857377646968
3.98782269498567e-05,171.418759714163,6.92010337440196,0.00502644034584161
3.53161515268836e-05,173.676991470456,7.2041567542087,0.00515044132036188
3.12759782484334e-05,176.207529299768,6.97170949410058,0.00442990363796797
2.76980014272465e-05,178.081874018913,6.98258389471799,0.00511905762784701
2.45293457160586e-05,180.839350643322,6.87434406388558,0.00501926029862806
