pos,conc_random,conc_SE_random,conc_CV_random,conc_CV_SE_random
0,0.414514549645401,0.00258769388177265,0.197411805223345,0.00460793995364152
2.45,0.41437346127573,0.00258019286309735,0.196906583369955,0.0046073091294732
4.9,0.365762362699602,0.00253652093185172,0.219300406366083,0.00488476703295661
7.35,0.319409688752888,0.00218911416176646,0.21673064572152,0.00570371799765247
9.8,0.278997041540556,0.00195421930120549,0.221499984557136,0.00527830746083279
12.25,0.247067965342718,0.00179958956817358,0.230333458286,0.00605755572902604
14.7,0.214543317360909,0.0015803149090492,0.232931726533835,0.00565926506150032
17.15,0.189256826006101,0.00138184116263396,0.230890770531975,0.00562021094119309
19.6,0.166011853375959,0.00125167545944956,0.238425465574107,0.0061406471571712
22.05,0.145251189401234,0.0011134253422644,0.242404905641215,0.00694887639066088
24.5,0.127113271480753,0.000972511785189234,0.241937939031019,0.00679894119320425
26.95,0.111164644756808,0.000880182281474182,0.250383633363914,0.00834612703205642
29.4,0.09696480655835,0.000756836838929724,0.246824421466741,0.00661345985928129
31.85,0.0850523476777113,0.000681757839367721,0.253480079497227,0.00733114430404177
34.3,0.0755035633442734,0.000594570353302512,0.249020902109458,0.00622479012712992
36.75,0.0660816071176555,0.00053637351357639,0.256676865692551,0.00713735824546136
39.2,0.0581433598808943,0.000483106974381187,0.26275027719187,0.00713266865207149
41.65,0.0508299026632244,0.000422179060738441,0.262650003721127,0.00715414377400797
44.1,0.0447169154848413,0.0003804388045214,0.269037593392821,0.00700841636124001
46.55,0.0389145367925414,0.000335169169933995,0.272365564598625,0.00823257552172463
49,0.0341041812473889,0.000297138440511055,0.275518783339014,0.00704930122963399
51.45,0.0299518893674261,0.000265415906267406,0.280222319449255,0.00846169428388978
53.9,0.0263084962493101,0.000229927839086876,0.276372948915423,0.00702889847544651
56.35,0.0230759038042996,0.000202219675667726,0.277117970430868,0.00782939594365721
58.8,0.0202043204200678,0.000178085884096844,0.278730984839973,0.00790626347036418
61.25,0.0178156232725533,0.000158536205696755,0.281402168160495,0.0081189239351062
63.7,0.015513145599697,0.000139080773951514,0.283509248075639,0.00736188889414893
66.15,0.0136321418695754,0.000127620304423883,0.296043601603233,0.00902817990000603
68.6,0.0119952052180327,0.000111193048376265,0.293136537854042,0.00808395992062393
71.05,0.0104625549237806,9.82673703775186e-05,0.297010350083813,0.00848311794891691
73.5,0.00908519860783705,8.27158875203235e-05,0.287908514207806,0.00737512138958655
75.95,0.00798548722569685,7.5878103240395e-05,0.300479637611733,0.00862983139124622
78.4,0.00698840684668942,6.50663143370173e-05,0.294427266144237,0.00837739183606461
80.85,0.00614293463321653,5.92441386742004e-05,0.304978690823614,0.00979861118729628
83.3,0.00541870548138414,5.21856585226374e-05,0.304547908525854,0.00748139750861216
85.75,0.00475280375852848,4.59284430201277e-05,0.305584864656465,0.00817796524976021
88.2,0.0041600360240222,4.09898958502381e-05,0.31158728239692,0.00905120263552142
90.65,0.00365334749866287,3.69168880364001e-05,0.319546526475166,0.00941293658362244
93.1,0.00319368789658646,3.17003290841183e-05,0.313885532114266,0.00883482595594324
95.55,0.00280690651846034,2.84803529954088e-05,0.320861359075444,0.00911541878253222
98,0.00247682920899985,2.55308870954572e-05,0.325964154544377,0.0108260201086642
100.45,0.00215060523222221,2.18776735916962e-05,0.32169213307451,0.00829189236527389
102.9,0.00189079539725149,1.92523877038678e-05,0.321988278738885,0.00820839307585075
105.35,0.00166008549295007,1.71594043578051e-05,0.326867509492266,0.009136339703847
107.8,0.00145046381920988,1.52472783654668e-05,0.332418686456787,0.0104718890229956
110.25,0.0012743976318728,1.33475635816255e-05,0.331205120569969,0.009763193223106
112.7,0.00112290096795133,1.18854613206663e-05,0.334714546410181,0.00902913914586766
115.15,0.000986462887345778,1.05775435719637e-05,0.339081481585973,0.00909792776492168
117.6,0.000868947716666416,9.65495058178721e-06,0.351363309313307,0.0105477943277167
120.05,0.000759604295400374,8.31018931270559e-06,0.345958101796773,0.00958298229920469
122.5,0.00066851039846683,7.40741998956403e-06,0.350395727668629,0.00916055450789179
124.95,0.000584423284532176,6.63553747897548e-06,0.359044762389492,0.00988917544395126
127.4,0.000513624864666533,5.77315146628166e-06,0.355440500771776,0.00978954464968715
129.85,0.000445611084288279,5.07015042930531e-06,0.359803065982823,0.00975893208433004
132.3,0.000391305850987253,4.43817553942409e-06,0.358664285872989,0.00948518794060635
134.75,0.000345294300545643,3.92755666235688e-06,0.359693880634293,0.00913288376370046
137.2,0.000301395914352613,3.3926327144738e-06,0.355958595695672,0.00844636375469862
139.65,0.000264783677079488,3.07879362471565e-06,0.367696393036508,0.0105576911580346
142.1,0.000233868229129822,2.73996880437461e-06,0.370488209188189,0.00924840619667654
144.55,0.00020405846316544,2.35622656753208e-06,0.365142544014996,0.0106697181575888
147,0.000178883495982096,2.17000279523664e-06,0.383610087906969,0.010890666904899
149.45,0.000157587275346833,1.87323181077883e-06,0.375898313775984,0.0104206842894704
151.9,0.000138192193060242,1.66317464242674e-06,0.380587347247026,0.0110897256596554
154.35,0.00012103459787049,1.45306384995236e-06,0.379642799030022,0.00979845420504676
156.8,0.000105589967440712,1.27523565698845e-06,0.381915945926302,0.0108025050453404
159.25,9.31285600254246e-05,1.15621367002104e-06,0.392604444661298,0.0108216005460188
161.7,8.18469882865688e-05,1.01409220415279e-06,0.391809300461399,0.0122151826690875
164.15,7.12530390096854e-05,8.56335532298751e-07,0.380049856263484,0.0112018370276719
166.6,6.24237258006924e-05,7.7520199088951e-07,0.392703880850501,0.0130009940653429
169.05,5.47297048878622e-05,6.80107285425331e-07,0.392965406925711,0.0114261042813156
171.5,4.80201799606451e-05,6.05286988989148e-07,0.398600239490909,0.01048782010647
173.95,4.20955905942114e-05,5.27635864086372e-07,0.396367192418822,0.01126036159401
176.4,3.70982149796267e-05,4.79996864496281e-07,0.40915266742107,0.0140655228211841
178.85,3.22206527480039e-05,4.0588873327716e-07,0.398357191517767,0.0104793186112426
181.3,2.85922139113597e-05,3.65761651391742e-07,0.404529674661837,0.0122048788141968
183.75,2.46643846508161e-05,3.10806893746232e-07,0.398492689209466,0.00930405952642384
186.2,2.20037519228757e-05,2.87747029358046e-07,0.413536748600029,0.0105730389651994
188.65,1.90193029288608e-05,2.46982790038051e-07,0.410650254798884,0.0107319229860531
191.1,1.67457468995545e-05,2.19414646574544e-07,0.414344035735354,0.0118603245867892
193.55,1.46009417786716e-05,1.9115918013352e-07,0.414013297248644,0.011725344694566
196,1.28208448045078e-05,1.69233584494004e-07,0.417416786300573,0.0122917919090902
198.45,1.12941505544229e-05,1.46898763359582e-07,0.411305547451242,0.0121421038398113
200.9,9.93650598435575e-06,1.29547441884183e-07,0.412282730013243,0.0127779538088232
203.35,8.75630856353171e-06,1.15850014762419e-07,0.418383969632076,0.010668484188088
205.8,7.69350172710253e-06,1.03401904614196e-07,0.425015220089489,0.011474068905352
208.25,6.78200817858172e-06,9.26633950228501e-08,0.43206580747208,0.0120785750457106
210.7,5.94020729482036e-06,8.10816124032527e-08,0.43163909747192,0.0126734312285824
213.15,5.24433346939362e-06,7.01292340762754e-08,0.422871870254595,0.0124315645335795
215.6,4.64512705212426e-06,6.45769366753452e-08,0.439622429955205,0.0148556170328518
218.05,4.1166042268329e-06,5.5673957879638e-08,0.4276741303144,0.0115635055554597
220.5,3.66441895986464e-06,4.9187090367482e-08,0.424469032447964,0.0114541817890329
222.95,3.29221527039352e-06,4.43601736910825e-08,0.4260936018553,0.0120615755049467
225.4,2.96215448318527e-06,4.06801780916377e-08,0.434285311995361,0.0122880687971775
227.85,2.68043286024689e-06,3.68246062349286e-08,0.434443374308155,0.013018375346322
230.3,2.45353821851114e-06,3.38490144162047e-08,0.43626784086549,0.012985866388995
232.75,2.25789589026873e-06,3.11698631208089e-08,0.43654697385409,0.0124333995695125
235.2,2.12145632171077e-06,2.939701500098e-08,0.43819673712758,0.0124192526409756
237.65,1.99821122847284e-06,2.75871120744195e-08,0.436581012950123,0.0123472250304719
240.1,1.92653452226836e-06,2.65484817730459e-08,0.435775584874756,0.0122068841658204
242.55,1.86627737216089e-06,2.57406502411176e-08,0.436157478142946,0.0122416437292393
245,1.86589008201846e-06,2.57333476539996e-08,0.436124245430146,0.0122507551680172
