pos,conc_random,conc_SE_random,conc_CV_random,conc_CV_SE_random
0,0.412877777916588,0.00240808943560125,0.18443829707463,0.0042411808945868
2.45,0.412548097173733,0.00241157951693253,0.184853210676764,0.00424778026154664
4.9,0.357720918601213,0.00249151836570967,0.220251946645768,0.00518778580912558
7.35,0.318450856746958,0.00213025682991963,0.211538560533023,0.00497009291153814
9.8,0.277977319188729,0.00193402901304146,0.220015674656757,0.00505922567889359
12.25,0.244805668945844,0.00165953112013995,0.214369961699446,0.00491992757464594
14.7,0.215728210909939,0.00155861434090244,0.228471338554394,0.0053793088560949
17.15,0.188955054948814,0.00137556946928519,0.230209909118789,0.0054206743852844
19.6,0.165271451536648,0.00122948169766424,0.235247072011549,0.00581629045558899
22.05,0.144246483272024,0.00105081210752783,0.230366770634066,0.0050819066917571
24.5,0.127675128089503,0.000928069395820839,0.22986568812626,0.00536736234230536
26.95,0.111146802417853,0.00084038962127153,0.239102274413019,0.00531050775336668
29.4,0.0977675954038196,0.000742563828384522,0.240181114821378,0.0056948380472178
31.85,0.0859865797978384,0.000670604869031742,0.246624391983612,0.00562276054517085
34.3,0.0750656905414257,0.000574594627318564,0.242058354558069,0.00508073133256107
36.75,0.0658227102338314,0.000525581849810378,0.25250186999913,0.00580386470518499
39.2,0.0574367555739464,0.000464198416066638,0.255572284044354,0.00568693131426459
41.65,0.0503377172584602,0.000414952454143372,0.260678264179548,0.0061348152847129
44.1,0.044130123189859,0.00035898138769326,0.257238987943615,0.00634884436888646
46.55,0.0388606970184395,0.000325071051102196,0.264525600860983,0.00670749915973844
49,0.0339074882542066,0.000284164137626675,0.265016947731705,0.00639986896455308
51.45,0.0298483994841577,0.00025849021806354,0.273856506908599,0.00636643801923603
53.9,0.0260976186941188,0.000225895328570707,0.273719897377657,0.00750620240877919
56.35,0.0229139118846949,0.000202821921844492,0.279908221550619,0.00660534197165282
58.8,0.0199591032476098,0.00017370817705845,0.275219523084682,0.00659691519339829
61.25,0.0176334159345371,0.000156582789856893,0.280806770605046,0.0067695572068843
63.7,0.0153241478805901,0.000140869479685814,0.290697017596805,0.00750815033354526
66.15,0.0135136180489367,0.000122344922765487,0.286295361238782,0.00685857922191407
68.6,0.011822890564498,0.000111091961616027,0.297138526763959,0.00765271954787313
71.05,0.0103873964701169,9.63487109811616e-05,0.293318327839196,0.00770847183130862
73.5,0.00910153863971354,8.51024116334925e-05,0.295683472639212,0.00869772060902267
75.95,0.00800934721540312,7.58053638272376e-05,0.299297311135168,0.00764073992359313
78.4,0.0070128383526728,6.78392435955254e-05,0.30590541763035,0.00777606650932553
80.85,0.00615888544416626,6.08791494821476e-05,0.312583788288837,0.00827282793297266
83.3,0.00540099571056914,5.19275560529481e-05,0.304035328397021,0.0073582168959712
85.75,0.00471089422813679,4.57852287980522e-05,0.307342086623419,0.00726003451775264
